word,lema
a,a
a,à
a,as
a,às
a,da
a,das
a,la
a,lha
a,lha
a,lhas
a,lhas
a,ma
a,mas
a,na
a,nas
a,no-la
a,no-las
a,pela
a,pelas
a,ta
a,tas
a,vo-la
a,vo-las
a,a
a,à
a,à
a,á
a,ao
a,ao
a,aos
a,aos
a,àquela
a,áquela
a,àquelas
a,àquele
a,àqueles
a,àquilo
a,às
a,às
a,ás
a,a
a,à
a,á
a,as
a,às
a,ás
a,da
a,das
a,na
a,nas
a,pela
a,pelas
aba,aba
aba,abas
abacate,abacate
abacate,abacates
abade,abade
abade,abades
abade,abadessa
abade,abadessas
abadia,abadia
abadia,abadias
abafado,abafada
abafado,abafadas
abafado,abafadíssimos
abafado,abafados
abafador,abafador
abafador,abafadores
abafar,abafa
abafar,abafada
abafar,abafadas
abafar,abafado
abafar,abafá-la
abafar,abafá-las
abafar,abafá-lo
abafar,abafá-lo-ia
abafar,abafam
abafar,abafa-me
abafar,abafam-se
abafar,abafando
abafar,abafar
abafar,abafara
abafar,abafará
abafar,abafaram
abafar,abafarem
abafar,abafa-se
abafar,abafa-se
abafar,abafassem
abafar,abafava
abafar,abafavam
abafar,abafava-se
abafar,abafava-se
abafar,abafe
abafar,abafem
abafar,abafou
abafar,abafou-a
abafar,abafou-lhe
abafo,abafo
abafo,abafos
abaixamento,abaixamento
abaixamento,abaixamentos
abaixar,abaixa
abaixar,abaixadas
abaixar,abaixado
abaixar,abaixados
abaixar,abaixam
abaixar,abaixam-se
abaixar,abaixando
abaixar,abaixando-lhe
abaixar,abaixar
abaixar,abaixarem
abaixar,abaixar-se
abaixar,abaixa-te
abaixar,abaixava
abaixar,abaixavam
abaixar,abaixava-me
abaixar,abaixavam-se
abaixar,abaixava-se
abaixar,abaixei-me
abaixar,abaixou
abaixar,abaixou-lhe
abaixar,abaixou-se
abaixo,abaixo
abaixo-assinado,abaixo assinado
abaixo-assinado,abaixo assinados
abaixo-assinado,abaixo-assinado
abaixo-assinado,abaixo-assinados
abajur,abajur
abalado,abalada
abalado,abaladas
abalado,abalado
abalar,abala
abalar,abalada
abalar,abaladas
