word,lema
a,à
a,as
a,às
a,da
a,das
a,la
a,lha
a,lhas
a,ma
a,mas
a,na
a,nas
a,no-la
a,no-las
a,pela
a,pelas
a,ta
a,tas
a,vo-la
a,vo-las
a,á
a,ao
a,aos
a,àquela
a,áquela
a,àquelas
a,àquele
a,àqueles
a,àquilo
a,pela
a,pelas
aba,abas
abacate,abacates
abade,abades
abade,abadessa
abade,abadessas
abadia,abadias
abafado,abafada
abafado,abafadas
abafado,abafadíssimos
abafado,abafados
abafador,abafadores
abafar,abafa
abafar,abafada
abafar,abafadas
abafar,abafado
abafar,abafá-la
abafar,abafá-las
abafar,abafá-lo
abafar,abafá-lo-ia
abafar,abafam
abafar,abafa-me
abafar,abafam-se
abafar,abafando
abafar,abafara
abafar,abafará
abafar,abafaram
abafar,abafarem
abafar,abafa-se
abafar,abafassem
abafar,abafava
abafar,abafavam
abafar,abafava-se
abafar,abafe
abafar,abafem
abafar,abafou
abafar,abafou-a
abafar,abafou-lhe
abafo,abafos
abaixamento,abaixamentos
abaixar,abaixa
abaixar,abaixadas
abaixar,abaixado
abaixar,abaixados
abaixar,abaixam
abaixar,abaixam-se
abaixar,abaixando
abaixar,abaixando-lhe
abaixar,abaixarem
abaixar,abaixar-se
abaixar,abaixa-te
abaixar,abaixava
abaixar,abaixavam
abaixar,abaixava-me
abaixar,abaixavam-se
abaixar,abaixava-se
abaixar,abaixei-me
abaixar,abaixou
abaixar,abaixou-lhe
abaixar,abaixou-se
abalar,abala
abalar,abalada
abalar,abaladas
abalar,abalado
abalar,abalados
abalar,abalam
abalar,abala-me
abalar,abalam-me
abalar,abalamos
abalar,abalando
abalar,abalara
abalar,abalará
abalar,abalara-lhe
abalar,abalaram
abalar,abalarem
abalar,abalariam
abalar,abala-se
abalar,abalasse

abalar,abalassem
abalar,abalava
abalar,abalavam
abalar,abalava-nos
abalar,abalava-se
abalar,abalei
abalar,abalem
abalar,abalo
abalar,abalou
abalar,abalou-a
abalar,abalou-me
abalar,abalou-o
abalar,abalou-se
abalar,abalou-se-me
abalizado,abalizada
abalizado,abalizadas
abalo,abalos
abalroamento,abalroamentos
abalroar,abalroa
abalroar,abalroada
abalroar,abalroado
abalroar,abalroados
abalroar,abalroando
abalroar,abalroaram
abalroar,abalroou
abanão,abanões
abanar,abana
abanar,abana-a
abanar,abanada
abanar,abanadas
abanar,abanado
abanar,abanados
abanar,abaná-la
abanar,abaná-lo
abanar,abanam
abanar,abanando
abanar,abanando-as
abanar,abanando-o
abanar,abanando-os
abanar,abanando-se
abanar,abana-os
abanar,abanaram
abanar,abanarem
abanar,abanar-me
abanar,abanar-se
abanar,abanasse
abanar,abanava
abanar,abanavam
abanar,abanavam-nos
abanar,abanavam-se
abanar,abanava-se
abanar,abanei
abanar,abano
abanar,abanou
abanar,abanou-lhe
abanar,abanou-o
abanar,abanou-se
abancar,abanca
abancar,abancado
abancar,abancados
abancar,abancam
abancar,abancámos
abancar,abancando
abancar,abancaram
abancar,abancaram-se
abancar,abancavam
abandonado,abandonada
abandonado,abandonadas
abandonado,abandonados
abandonado,abandonadas
abandonado,abandonados
abandonar,abandona
abandonar,abandona-a
abandonar,abandonada
abandonar,abandonadas
abandonar,abandonado
abandonar,abandonados
abandonar,abandonai-me
abandonar,abandoná-la
abandonar,abandoná-la-ia
abandonar,abandoná-las
abandonar,abandoná-lo
abandonar,abandoná-lo-íamos
abandonar,abandonam
abandonar,abandonamos
abandonar,abandonámos
abandonar,abandonam-se
abandonar,abandonam-te
abandonar,abandonando
abandonar,abandonando-a
abandonar,abandonando-as
abandonar,abandonando-se
abandonar,abandona-o
